1.07, 100, 0.00
1.17, 100, 6.00
1.27, 100, 21.00
1.37, 100, 27.00
1.47, 100, 27.00
1.57, 100, 27.00
1.67, 100, 30.00
1.77, 100, 27.00
1.87, 100, 30.00
1.97, 100, 27.00
2.07, 100, 30.00
2.17, 100, 30.00
2.27, 100, 27.00
2.37, 100, 30.00
2.48, 100, 27.00
2.58, 100, 30.00
2.68, 100, 27.00
2.78, 100, 30.00
2.88, 100, 27.00
2.98, 100, 30.00
3.08, 100, 27.00
3.18, 100, 30.00
3.28, 100, 27.00
3.38, 100, 30.00
3.48, 100, 27.00
3.58, 100, 30.00
3.68, 100, 30.00
3.78, 100, 27.00
3.88, 100, 30.00
3.98, 100, 27.00
4.07, 100, 30.00
4.18, 100, 27.00
4.28, 100, 30.00
4.38, 100, 27.00
4.48, 100, 30.00
4.57, 100, 27.00
4.68, 100, 30.00
4.78, 100, 30.00
4.88, 100, 27.00
4.98, 100, 30.00
5.07, 100, 27.00
5.18, 100, 30.00
5.28, 100, 27.00
5.38, 100, 30.00
5.48, 100, 30.00
5.58, 100, 27.00
5.68, 100, 30.00
5.78, 100, 27.00
5.88, 100, 30.00
5.98, 100, 27.00
6.08, 100, 30.00
6.18, 100, 30.00
6.28, 100, 27.00
6.38, 100, 30.00
6.48, 100, 27.00
6.58, 100, 30.00
6.68, 100, 27.00
6.78, 100, 30.00
6.88, 100, 27.00
6.98, 100, 30.00
7.08, 100, 30.00
7.18, 100, 27.00
7.28, 100, 30.00
7.38, 100, 27.00
7.48, 100, 30.00
7.58, 100, 27.00
7.68, 100, 30.00
7.78, 100, 30.00
7.88, 100, 27.00
7.98, 100, 30.00
8.08, 100, 27.00
8.18, 100, 30.00
8.28, 100, 27.00
8.38, 100, 30.00
8.48, 100, 30.00
8.58, 100, 27.00
8.68, 100, 30.00
8.78, 100, 27.00
8.88, 100, 30.00
8.98, 100, 30.00
9.08, 100, 27.00
9.18, 100, 30.00
9.28, 100, 27.00
9.38, 100, 30.00
9.48, 100, 27.00
9.58, 100, 30.00
9.68, 100, 30.00
9.78, 100, 27.00
9.88, 100, 30.00
9.98, 100, 27.00
10.08, 100, 30.00
10.18, 100, 30.00
10.28, 100, 27.00
10.38, 100, 30.00
10.48, 100, 27.00
10.58, 100, 30.00
10.68, 100, 27.00
10.78, 100, 30.00
10.88, 100, 30.00
10.98, 100, 27.00
11.08, 100, 30.00
11.18, 100, 27.00
11.28, 100, 30.00
11.38, 100, 30.00
11.48, 100, 27.00
11.58, 100, 30.00
11.68, 100, 27.00
11.78, 100, 30.00
11.88, 100, 27.00
11.98, 100, 30.00
12.08, 100, 30.00
12.18, 100, 27.00
12.28, 100, 30.00
12.38, 100, 27.00
12.48, 100, 30.00
12.58, 100, 27.00
12.68, 100, 30.00
12.78, 100, 27.00
12.88, 100, 30.00
12.98, 100, 30.00
13.08, 100, 27.00
13.18, 100, 30.00
13.28, 100, 27.00
13.38, 100, 30.00
13.48, 100, 27.00
13.58, 100, 30.00
13.68, 100, 30.00
13.78, 100, 27.00
13.88, 100, 30.00
13.98, 100, 27.00
14.08, 100, 30.00
14.18, 100, 27.00
14.28, 100, 30.00
14.38, 100, 30.00
14.48, 100, 27.00
14.58, 100, 30.00
14.68, 100, 27.00
14.78, 100, 30.00
14.88, 100, 27.00
14.98, 100, 30.00
15.08, 100, 30.00
15.18, 100, 27.00
15.28, 100, 30.00
15.38, 100, 27.00
15.48, 100, 30.00
15.58, 100, 27.00
15.68, 100, 30.00
15.78, 100, 30.00
15.88, 100, 27.00
15.98, 100, 30.00
16.08, 100, 27.00
16.18, 100, 30.00
16.28, 100, 27.00
16.38, 100, 30.00
16.48, 100, 27.00
16.58, 100, 30.00
16.68, 100, 27.00
16.78, 100, 30.00
16.88, 100, 27.00
16.98, 100, 30.00
17.08, 100, 30.00
17.18, 100, 27.00
17.28, 100, 30.00
